phrases,concepts
hour fasts,hour
meal at night,meal
amount of food,amount
day shell,day
same response,same
fault in an argument,argument
wheat products,wheat
fatty foods,fatty foods
vegetable juices,vegetable juices
bad case,bad
bad case of diarrhea,bad
case of diarrhea,case
times extreme nausea,times
extreme nausea,extreme
cooking shows,cooking
loose weight,loose
quick fixes,quick
half stone,half
bare minimum,minimum
couple lf,couple
couple lf weeks,couple
lf weeks,weeks
full days,full
intense pain,intense
right upper abdomen,right
starvation periods,starvation
day today,day
right arm,right arm
past few days,past
normal ctivities,normal
hospital thing,hospital
goal weight,goal
goal weight of 88lbs,goal
weight of 88lbs,weight
foot 3in,foot
body image,body image
small woman,small
extra weight,extra
ongoing battle,ongoing
psychological effects,psychological
help for people,help
psychological state,psychological
much gas,much
bypass surgery,bypass surgery
whole family,whole
feeding tube,feeding tube
thoughts of food,thoughts
bare minimum calories,minimum
minimum calories,minimum
overall lack,overall
overall lack of emotion,overall
lack of emotion,lack
different supplements,different
half hours,half
teenage female,teenage
truck in an ocean,truck
truck in an ocean of sticks,truck
algebra quiz,algebra
rewarding feeling,rewarding
calorie intake,calorie intake
period cycle,period
calories per day,calories
more energy,more
december 10th,december
negative degrees,negative
room temperature,room temperature
slight gap,slight
thigh gap,thigh
single night,single
loaf of bread,bread
lonely person,lonely
new weight,new
emergency room,emergency room
faster wait,wait
faster wait list,wait list
wait list,wait list
nutrient deficiencies,nutrient
teary eyes,eyes
clean eating,clean
spoons of peanut,peanut
spoons of peanut butter,peanut butter
peanut butter,peanut butter
digestive system,digestive system
hungry yesterday,hungry
weight as a sedentary individual,weight
sedentary individual,sedentary
thinning hair,thinning hair
quick time,quick
stomach muscle,stomach
stomach muscle show,stomach
muscle show,muscle
falling life,falling
failure with no friends,failure
school work,school
many lessons,many
previous forum,previous
previous forum post,previous
forum post,post
day in the beginning,day
day in the beginning of december,day
beginning of december,beginning
strong urges,strong
junk of any kind,junk
recovery with the help,recovery
greek yogurt,greek
mini cake,mini
mini cake snacks,mini
cake snacks,cake
depression at this point,depression
situation in the first pace,first
first pace,first
judgement from people,judgement
more kindness,more
tricky world,world
tricky world of recovery,world
world of recovery,world
anorexia demons,anorexia
inpatient compulsory treatment,inpatient
inpatient compulsory treatment for anorexia,inpatient
inpatient compulsory treatment for anorexia in scotland,inpatient
compulsory treatment,compulsory treatment
compulsory treatment for anorexia,compulsory treatment
compulsory treatment for anorexia in scotland,compulsory treatment
treatment for anorexia,treatment
treatment for anorexia in scotland,treatment
anorexia in scotland,anorexia
hell at the moment since lockdown,since
moment since lockdown,since
depression extreme anxiety,depression
periods of time,time
overweight section,overweight
overweight section of the bmi,overweight
overweight section of the bmi chart,overweight
section of the bmi,section
section of the bmi chart,section
bmi chart,bmi
high calorific,high
high calorific foods,high
high calorific foods infront,high
high calorific foods infront of others,high
calorific foods,foods
calorific foods infront,foods
calorific foods infront of others,foods
foods infront,foods
foods infront of others,foods
infront of others,others
healthy weight,healthy
healthy weight at the moment,healthy
weight at the moment,weight
words of wisdom,wisdom
dizziness group,dizziness
girl by the way,girl
healthy diet with enough calories,healthy diet
diet with enough calories,diet
enough calories,calories
daily multivitamins,daily
daily iron,daily
daily iron intake,daily
iron intake,iron intake
several blood,several
several blood tests,several
iron levels,iron levels
other nutrition,nutrition
seconds in advance,seconds
sort of pressure,sort
few extra seconds,few
extra seconds,extra
painful pressure,painful
other medications,medications
extreme fatigue for the past year,extreme fatigue
fatigue for the past year,fatigue
sleep per night,sleep
old birth,old
old birth control,old
mental illness,mental illness
typical anorexia,typical
magical thinking,magical thinking
next year,next
ocd forum,ocd
stone 13lbs,stone
ft9 in height,height
eating disorder unit,eating disorder
disorder unit,disorder
disturbing thoughts,thoughts
disturbing thoughts about bugs,thoughts
can of coke,can
sure nothings,sure
different insects,different
cerazette around a month,cerazette
packet about the issues,packet
eating disorder for quite a while,eating disorder
disorder for quite a while,disorder
depressing lifestyle,depressing
own accord,accord
old ways,old
road of recovery,road
unhealthy short period,short period
unhealthy short period of time,short period
short period,short period
short period of time,short period
worst nightmare,worst
version of hell,version
mental help,mental
most fruits,most
many other types,many
many other types of foods,many
other types,types
other types of foods,types
types of foods,types
strong disgust,strong
strong disgust towards these foods,strong
disgust towards these foods,disgust
bit of progress,bit
bit of progress over time,bit
progress over time,progress
cbt therapy,cbt
many restaurants,many
other approaches,approaches
others in similar situations,others
similar situations,similar
brief summary,brief
fear of nausea,fear of
long long time,long
pms today,pms
big pastry,big
big pastry for lunch,big
pastry for lunch,pastry
ex partner,partner
nasty bug,bug
nasty bug on christmas,bug
nasty bug on christmas day,bug
bug on christmas,bug
bug on christmas day,bug
christmas day,day
horrific condition,condition
other stomach,stomach
other stomach illness,stomach
stomach illness,stomach
terrible cramps,terrible
happy autumn,happy
happy autumn haha,happy
autumn haha,autumn
various anxieties,various
undiagnosed binge,undiagnosed
writing notes,writing
posters with self,posters
care quotes,care
doctor numerous times,doctor
various diets,various
own child,child
last day of methylprednisolone,last
day of methylprednisolone,day
eustachian tubes,eustachian tubes
throbbing headache,throbbing headache
eustachian tube,eustachian tube
eustachian tube dysfunction,eustachian tube dysfunction
tube dysfunction,tube
general ache,general
general ache in liver,general
general ache in liver area,general
ache in liver,ache
ache in liver area,ache
weak muscles fatigue,weak
muscles fatigue,muscles
alcohol related liver,alcohol
alcohol related liver disease,alcohol
related liver,related
related liver disease,related
blood readings,blood
liver in form,liver
full bloods,full
full bloods results,full
bloods results,bloods
certain levels,certain
muscle wastage,muscle
normal size,normal size
legs ankles,legs
gallstones as another result,gallstones
gallstones as another result from the disease,gallstones
result from the disease,result
other usual symptoms,usual
usual symptoms,usual
hospital last week,hospital
much fluid,much
end of this post,end
family doctor,family
doctors at the hospital,doctors
front yard,front
front yard to back,front
front yard to back yard,front
yard to back,yard
yard to back yard,yard
back yard,back
years in a few weeks,years
calves from a infection,from
heart failre,heart
death sentence,death
end stage liver,end stage
end stage liver issue,end stage
stage liver,stage
stage liver issue,stage
liver issue,liver
blood ct,blood
larger liver,larger
big nose,big nose
normal healthy liver,normal
healthy liver,healthy
miserable most days,miserable
stomach swelling,stomach swelling
stomach viruses,stomach
second adderall,second
second adderall pill,second
second adderall pill of the day,second
adderall pill,adderall pill
adderall pill of the day,adderall pill
pill of the day,pill
intense malaise,intense
bad reaction to the medication,bad
reaction to the medication,reaction
panic attack feelings,panic attack
attack feelings,attack
upper right abdomen,upper
right abdomen,right
few exceptions,few
small amount of billirubin,small amount
amount of billirubin,amount
vitamin b supplements,vitamin b
b supplements,supplements
upper end,upper
upper end of normal range,upper
end of normal range,end
results of an ultrasound,ultrasound
analyzing doctor,doctor
diffuse echogenic liver,diffuse
echogenic liver,echogenic
hepatic steatosis,hepatic steatosis
horrible dehabilitating symptoms,symptoms
dehabilitating symptoms,symptoms
days other days,days
weight fat,weight
nerve endings,nerve endings
certain foods,certain
lot of doctors,lot
sad posts,sad
deaths doorstep,deaths
deaths doorstep from end,deaths
deaths doorstep from end stage,deaths
deaths doorstep from end stage liver,deaths
deaths doorstep from end stage liver disease,deaths
doorstep from end,from
doorstep from end stage,from
doorstep from end stage liver,from
doorstep from end stage liver disease,from
end stage liver disease,end stage liver disease
stage liver disease,stage
resiliant multicellular organism,organism
multicellular organism,organism
entire job,entire
survival of the human race,survival
human race,human
proper dietary,dietary
proper dietary requirements,dietary requirements
snails pace,snails
abuse at the same time,abuse
diagnosis of fatty,diagnosis
diagnosis of fatty liver,diagnosis
patient forum,patient
radical diet,radical
radical diet changes,radical
diet changes,diet
back to the root,back
consists of foods,foods
liver disease patients,liver disease
disease patients,disease
morning espresso,morning
mg capsules,capsules
beta- blockers,beta
high blood pressure condition,high blood pressure
blood pressure condition,blood pressure
pressure condition,pressure
last blood,last
last blood test,last
potassium reading,potassium
upper threshold,upper
dosage size,dosage
major contributor,major
major contributor to the exacerbation,major
contributor to the exacerbation,exacerbation
good shape,good
life insurance,life insurance
third party,third party
third party blood,third party
third party blood test,third party
party blood,party
party blood test,party
previous drinking history,previous
drinking history,drinking
lft results,lft
high bilirubin,high
high bilirubin levels,high
bilirubin levels,bilirubin levels
period of sobriety,period
full blood,full
full blood count,full blood count
liver diseases,liver diseases
other reason,reason
abnormal lft,abnormal lft
blood test for a life,blood test
blood test for a life insurance,blood test
blood test for a life insurance policy,blood test
test for a life,test
test for a life insurance,test
test for a life insurance policy,test
life insurance policy,life insurance policy
insurance policy,insurance
liver function tests,liver function tests
liver function tests serum,liver function tests
liver function tests serum total bilirubin,liver function tests
liver function tests serum total bilirubin level,liver function tests
function tests,function
function tests serum,function
function tests serum total bilirubin,function
function tests serum total bilirubin level,function
tests serum,tests
tests serum total bilirubin,tests
tests serum total bilirubin level,tests
serum total bilirubin,serum total bilirubin
serum total bilirubin level,serum total bilirubin
total bilirubin,total bilirubin
total bilirubin level,total bilirubin level
bilirubin level,bilirubin level
high reference,high
high reference limit,high
high reference limit serum,high
high reference limit serum alanine,high
high reference limit serum alanine aminotransferase,high
high reference limit serum alanine aminotransferase level,high
reference limit,reference
reference limit serum,reference
reference limit serum alanine,reference
reference limit serum alanine aminotransferase,reference
reference limit serum alanine aminotransferase level,reference
limit serum,limit
limit serum alanine,limit
limit serum alanine aminotransferase,limit
limit serum alanine aminotransferase level,limit
serum alanine,serum
serum alanine aminotransferase,serum
serum alanine aminotransferase level,serum
alanine aminotransferase,alanine aminotransferase
alanine aminotransferase level,alanine aminotransferase
aminotransferase level,aminotransferase
high reference limit serum albumin,high
high reference limit serum albumin level,high
reference limit serum albumin,reference
reference limit serum albumin level,reference
limit serum albumin,limit
limit serum albumin level,limit
serum albumin,serum albumin
serum albumin level,serum albumin level
albumin level,albumin level
serum alkaline,serum
serum alkaline phosphatase,serum alkaline phosphatase
serum alkaline phosphatase level,serum alkaline phosphatase
alkaline phosphatase,alkaline phosphatase
alkaline phosphatase level,alkaline phosphatase level
phosphatase level,phosphatase
various other tests,various
hiv fibroscan,hiv
alt ratio,alt
haemoglobin a1c,haemoglobin a1c
coeliac screen,screen
liver autoab,liver
gpc ab,gpc
loads of water in day,water
water in day,water
day time,day
1st thing,1st
1st thing in morning,1st
thing in morning,thing
bad pains,bad
liver gallbladder,liver gallbladder
liver gallbladder area,liver gallbladder
liver gallbladder area for past few weeks,liver gallbladder
gallbladder area,gallbladder
gallbladder area for past few weeks,gallbladder
area for past few weeks,area
upper right abdominal ache,upper
right abdominal ache,right
abdominal ache,abdominal
mid backache,mid
several ultrasounds,several
hida scan,hida scan
gilberts syndrome,gilberts syndrome
type of catch-,type
real support,real
kind of autoimmune issue,kind
autoimmune issue,autoimmune
doctor for the past year,doctor
doctor for the past year for pain,doctor
past year for pain,past year
past year for pain in the right side,past year
year for pain,year
year for pain in the right side,year
pain in the right side,pain
mid stomach,mid
mid stomach pain,mid
lot of pain in the shoulder,lot
lot of pain in the shoulder area,lot
pain in the shoulder,pain
pain in the shoulder area,pain
shoulder area,shoulder
slight yellow tinge,slight
yellow tinge,yellow
skin problems,skin
er with horrible pain,with
small amount of fatty,small amount
small amount of fatty liver,small amount
amount of fatty,amount
amount of fatty liver,amount
mild duct,mild
mild duct dilation,mild
duct dilation,duct dilation
liver bloodwork,liver
liver bloodwork in the er,liver
liver bloodwork in the er in september,liver
bloodwork in the er in september,september
er in september,september
few numbers,few
big jump,big
big jump from the prior year,big
jump from the prior year,jump
prior year,prior
pcp for tests,pcp
drinking to the point,drinking
normal range with the doctor,normal range
range with the doctor,range
liver enzyme,liver enzyme
liver enzyme test,liver enzyme test
enzyme test,enzyme test
total protein,total protein
damage over the years,damage
months to the day,months
months to the day of that good test,months
day of that good test,day
day of that good test result,day
good test,good
good test result,good
second test,second
serious underlying liver,serious
serious underlying liver damage,serious
serious underlying liver damage after the positive enzyme,serious
underlying liver,underlying
underlying liver damage,underlying
underlying liver damage after the positive enzyme,underlying
underlying liver damage after the positive enzyme test,underlying
liver damage,liver damage
liver damage after the positive enzyme,liver damage
liver damage after the positive enzyme test,liver damage
liver damage after the positive enzyme test results,liver damage
damage after the positive enzyme,damage
damage after the positive enzyme test,damage
damage after the positive enzyme test results,damage
positive enzyme,positive
positive enzyme test,positive
positive enzyme test results,positive
enzyme test results,enzyme test
best health,best
immunotherapy treatment,immunotherapy
1hr in a day,day
severe itch,severe
little bit rise,little
little bit rise in liver,little
little bit rise in liver enzymes,little
bit rise,bit
bit rise in liver,bit
bit rise in liver enzymes,bit
rise in liver,rise
rise in liver enzymes,rise
smooth muscle antibody positive titer,smooth muscle antibody positive
muscle antibody positive titer,muscle antibody
antibody positive titer,antibody positive
positive titer,positive
possible diagnosis,possible diagnosis
possible diagnosis of auto,possible diagnosis
possible diagnosis of auto immune hepatitis,possible diagnosis
diagnosis of auto,diagnosis
diagnosis of auto immune hepatitis,diagnosis
auto immune hepatitis,auto
immune hepatitis,immune hepatitis
upcoming appointment,appointment
upcoming appointment at december,appointment
appointment at december,appointment
same problems,same
types of hepatitis,types
lover blood,lover
lover blood work,lover
ride side,side
ride side belly,side
side belly,side
little bit scary im,little
bit scary im,bit
high values,high
high values in the liver,high
values in the liver,values
gamma gt,gamma
alat ggt,ggt
glass of red,glass
glass of red in the evening,glass
red in the evening,red
red wine,red wine
same diet,same
healthy living,healthy living
sport during the week,sport
double wammy,double
kick in the right direction,right
sort of niggle,sort
upper right rib,upper
upper right rib area,upper
right rib area,right rib
rib area,rib
else experiance,else
different strains,different
alot of stress,stress
primary doctors,primary
other thoughts,thoughts
recent blood,recent
recent blood test,recent
mini pill,mini
liver function numbers,liver function
liver function numbers ast,liver function
function numbers,function
function numbers ast,function
numbers ast,numbers
ultrasound on the liver,ultrasound
hepatitis patients,hepatitis
u/l with no damaging issues,u/l
multiple times to a&e,multiple
times to a&e,times
place in rehab,place
chance of survival,chance
days after treatment,days
good chance,good
good chance of survival,good
chest xray,chest
type of failure,type
other end,end
other end living,end
end living,end
organ under the skin,organ
lower right stomach,lower
lower right stomach area,lower
right stomach,right
right stomach area,right
stomach area,stomach
different one,different
liver for many years,liver
complete seriousness,complete
nice thoughts,nice
bad spot,bad
extra things,extra
personal stories,personal
tremendous help,help
lower stomach,lower
lower stomach cramps,lower
right flank area,right flank
flank area,flank
constipation with light,constipation
constipation with light stool,constipation
light stool,light stool
liver normal gallbladder,liver normal
normal gallbladder,normal gallbladder
heavy drinker for years,heavy drinker
heavy drinker for years with occasional weeks,heavy drinker
drinker for years,drinker
drinker for years with occasional weeks,drinker
drinker for years with occasional weeks to months,drinker
years with occasional weeks,years
years with occasional weeks to months,years
occasional weeks,occasional
occasional weeks to months,occasional
weeks to months,weeks
noticeable symptom,symptom
noticeable symptom of ascites,symptom
symptom of ascites,symptom
food intollerances,food
info about the side,info
info about the side effects,info
prednsiolone at the lower doses,lower
lower doses,lower
lung condition,lung
crytogenic organising,organising
prednisolone for a year,prednisolone
time last year,time
many side effects,many
bad muscle aches,bad
end of december,end
pain in different areas,pain
pain in different areas on different days,pain
different areas,different
different areas on different days,different
areas on different days,areas
upper legs,upper
steroid reduction,steroid
thanks for any ideas,for
3rd day,day
bloody urine,bloody urine
doc today,doc
south india,south
blood pressure med,blood pressure
pressure med,pressure
same day,same
more months,more
thigh aches,thigh
metpred for the short duration,for
short duration,short duration
metpred intake,intake
significant side,significant
significant side effect,significant
last couple weeks,last
prednisones for the first few days,for
side effects from the pills,side effects
effects from the pills,effects
allergist today,allergist
second dose in the morning,second
second dose in the morning with a banana,second
dose in the morning,dose
dose in the morning with a banana,dose
morning with a banana,morning
real test,real
short term dose,short term
short term dose of prednisone,short term
term dose,term
term dose of prednisone,term
dose of prednisone,dose
mg of prednisone 3x,prednisone
prednisone 3x,prednisone
day course,day
day course of pred,day
course of pred,course
course of pred for a possible inner ear,course
pred for a possible inner ear,pred
pred for a possible inner ear infection,pred
possible inner ear,possible
possible inner ear infection,possible
inner ear infection,inner ear infection
lower dose of pred,lower
dose of pred,dose
initial regimen,initial
new taper,new
new taper schedule,new
short-term regimen,short-term
december 24th,december
little bronchial,little
mg prednisone,prednisone
fourth day,fourth
4th day,day
constant panic,constant
constant panic attacks,constant
episodes last night,episodes
hot sweaty hands,hot
sweaty hands,sweaty hands
hours since last dose,hours
panic attacks with short burst,panic attacks
panic attacks with short burst of prednisone,panic attacks
attacks with short burst,attacks
attacks with short burst of prednisone,attacks
short burst,short
short burst of prednisone,short
burst of prednisone,burst
worst attacks,worst
deeper breaths,breaths
more anxiety,more
steriod infusions,infusions
pill form,pill
bad flare,bad
prednisone at the time,prednisone
late january,late
plenty of water,water
ounces per day,ounces
salt intake,salt intake
days for a sinus,days
days for a sinus infection,days
highblood pressure,pressure
day palpitation,day
day palpitation anxiousness,day
palpitation anxiousness,palpitation
nights with thoughts,nights
doctor over the phone,doctor
end of last year,end
other medicines,medicines
kind of rashes,kind
other prednisone,prednisone
other prednisone withdrawl,prednisone
other prednisone withdrawl pateints,prednisone
prednisone withdrawl pateints,prednisone
kind of side,kind
kind of side effect,kind
year- old male,year
year- old male with ocular myasthenia,year
year- old male with ocular myasthenia gravis,year
old male with ocular myasthenia,old
old male with ocular myasthenia gravis,old
male with ocular myasthenia,male
male with ocular myasthenia gravis,male
ocular myasthenia,ocular myasthenia
ocular myasthenia gravis,ocular myasthenia gravis
myasthenia gravis,myasthenia gravis
full years,full
january of this year,january
june 4th,june
small dose,small
drug at some level,drug
lot of similar posts,lot
lot of similar posts to this one,lot
similar posts,similar
similar posts to this one,similar
posts to this one,this
severe nerve,severe
severe nerve pain,severe
day cycle,day
day cycle of prednisone,day
cycle of prednisone,cycle
insane headaches,headaches
body experience,body
own body,body
own skin,skin
crazy symptoms,symptoms
weeks post prednisone,weeks
post prednisone,post
pred for hives,pred
night with feet,night
night feet,night
stiff creaking neck,neck
creaking neck,neck
reactions to meds,meds
doctors for a blood,doctors
doctors for a blood test,doctors
adverse reaction to a flu,adverse reaction
adverse reaction to a flu jab,adverse reaction
reaction to a flu,reaction
reaction to a flu jab,reaction
last prednisolone,last
last prednisolone tablet,last
prednisolone tablet,prednisolone
main issues,main
bad aches,bad
dry skin,dry skin
months for an autoimmune disorder,months
sugar levels,sugar
occasional days,occasional
ai consultant,consultant
telephone with an endocrinologist,telephone
trigeminal nerve,trigeminal nerve
blast of prednisone,blast
first couple of times,first
little weight,little
amount to 100mgs,amount
daily dose,daily dose
most cases,most
system to the steroid,system
longer dose,dose
short dose,short
more dose,more
more dose for a 5th day,more
dose for a 5th day,dose
5th day,day
worth feeling,feeling
lots of anxiety,anxiety
little pinch,little
little pinch of salt,little
pinch of salt,pinch
prednisone for pmr,prednisone
time to time,time
medicine gonna het,medicine
vaccine efficacy,vaccine
hair transplant,hair transplant
hair transplant on the 3rd july,hair transplant
transplant on the 3rd july,transplant
3rd july,july
day of the procedure,day
mg next day,next
mg last day,last
weeks after the procedure,weeks
bed for the next few days,bed
next few days,next
eye ache,eye ache
headaches in the mornings,headaches
same person,same
mg for an allergic reaction,for
heart pap,heart
predisone withdrawal,withdrawal
constant breast,constant
constant breast pain,constant
lupus in march,lupus
lot of facial hair,lot
mg in a few days,few
earlier threads,earlier
side effect most people,side effect
effect most people,effect
second course,second
bad feeling,bad
advance for any feedback,advance
prednisone from tuesday,prednisone
prednisone from tuesday october,prednisone
tuesday october,tuesday
monday october,monday
irregular heartbeat,irregular heartbeat
irregular heartbeat feeling,irregular heartbeat
heartbeat feeling,heartbeat
indigestion feeling,indigestion
puffy eyes,puffy eyes
slow bowel,slow
slow bowel movements,slow
rapid heartbeat,rapid heartbeat
upper abdominal discomfort,upper
abdominal discomfort,abdominal discomfort
excitement of life,excitement
excitement of life in many ways,excitement
life in many ways,life
many ways,many
trapping sciatic nerve,sciatic nerve
sciatic nerve,sciatic nerve
oromorph liquid,liquid
terrible acid,terrible
terrible acid stomach,terrible
acid stomach,acid
bitter saliva,bitter
gaviscon for many years,gaviscon
small hiatus,small
small hiatus hernia,small
usual dose,usual
effect whatsover,effect
plenty of fluids,fluids
holiday next week,holiday
elderly friends,elderly
bronchitis today,bronchitis
days fog,days
days fog version,days
fog version,fog
chest tiedness,chest
last dose cz,last
dose cz,dose
series of unfortunate events,series
unfortunate events,events
past december,past
percussion gun,percussion
percussion gun massager,percussion
gun massager,gun
sorts of firey nerve,sorts
sorts of firey nerve pains,sorts
firey nerve,nerve
firey nerve pains,nerve pains
nerve pains,nerve pains
mg via iv,via
more torodol,more
dexamethasone steroid,dexamethasone
torodol as a shot,shot
hospital on a sunday,hospital
hospital on a sunday night,hospital
sunday night,sunday
great monday,great
profuse sweating,profuse sweating
different er,different
least 24hr wait,wait
24hr wait,wait
steroid withdrawal,steroid
iv bag,iv bag
iv bag of fluids,iv bag
bag of fluids,bag
tuesday night,tuesday
wednesday to friday,wednesday
unexplainable emotions,emotions
mental status,mental status
hellish gabbapentin withdrawal,withdrawal
gabbapentin withdrawal,withdrawal
few yrs,few
joint pains,joint pains
total wreck,total
easy fix,easy
mg more dexamethasone,more
more dexamethasone,more
iv fluid,iv fluid
iv fluid bag,iv fluid
fluid bag,fluid
awful pressure,pressure
awful pressure sounds,pressure
awful pressure sounds in head,pressure
awful pressure sounds in head stuffy nose,pressure
pressure sounds,pressure
pressure sounds in head,pressure
pressure sounds in head stuffy nose,pressure
sounds in head,sounds
sounds in head stuffy nose,sounds
head stuffy nose,head
prednisone steroid,prednisone
doctor last thursday,doctor
tight chest,tight chest
hemorrhoids with laser,hemorrhoids
scratch in the same area,scratch
same area,same
several times to hospitals,several
times to hospitals,times
link between the operation,link
private message,private
only place,only
exact same symptoms,exact
same stigma,same
unprofessional medical professionals,medical
medical professionals,medical
utter inexplicable disgust,disgust
inexplicable disgust,disgust
hour( like clockwork,hour
splash of water,splash
only word,only
positive post,positive
follow up posts,follow up
solid research,solid
complex medical history,complex
complex medical history with a lot,complex
complex medical history with a lot of diagnoses,complex
medical history with a lot,medical history
medical history with a lot of diagnoses,medical history
history with a lot,history
history with a lot of diagnoses,history
lot of diagnoses,lot
medical care,medical care
drs mistake,drs
normal nervous system,normal
drug abuse issues,drug abuse
abuse issues,abuse
patient profile,patient profile
possible vulnerabilities,possible
next move,next
holistic practitioner,practitioner
sample of the matter,sample
bad idea,bad
spongiotic tissue,tissue
delusional parasitosis,delusional parasitosis
delusional parasitosis loop,delusional parasitosis
parasitosis loop,parasitosis
small wound,small
own pictures,pictures
same diameter,same
same distance,same
same distance between those marks,same
distance between those marks,distance
last months,last
high temperatures,high temperatures
lot of bat,lot
lot of bat species,lot
bat species,bat
rabies virus,rabies virus
one on wikipedia,one
bat advice,bat
bat advice centre,bat
advice centre,advice
healthy bats,healthy
last doctor visit,last
doctor visit,doctor visit
possible contact,possible
possible contact with a bat,possible
contact with a bat,contact with
thanks in advance for any advices,advance
advance for any advices,advance
plethora of disturbing things,plethora
large amounts of small multicolored masses,large
amounts of small multicolored masses,amounts
small multicolored masses,small
small stones,small
bit by a large centipede,bit
large centipede,large
definitive info,definitive
daily chronic fatigue,daily
severe migraines,severe
pressure cooker,pressure
sore neck,sore
small auditory things,small
auditory things,auditory
extreme stress,extreme
flight mode,flight
ent specialists,ent
end of august,end
new functional medicine,new
new functional medicine dr,new
functional medicine,functional
functional medicine dr,functional
medicine dr,medicine
stool testing,stool testing
comprehensive urine,comprehensive
comprehensive urine panel,comprehensive
urine panel,urine
toilet tissue,toilet
pocket for a doctor,for
mucus of fat,mucus
more pics,more
instant noodles,noodles
day trip,day
day trip to croatia,day
day trip to croatia in late sept,day
trip to croatia,trip
trip to croatia in late sept,trip
croatia in late sept,croatia
late sept,late
early oct,early
3rd dose of the pfizer,dose
3rd dose of the pfizer vaccine,dose
dose of the pfizer,dose
dose of the pfizer vaccine,dose
small chance,small
hotel room,hotel
return to the u.s,return to
research on this topic,research
opinions from knowledgeable physicians,opinions
knowledgeable physicians,knowledgeable
normal precautions,normal
crowded indoor places,crowded
indoor places,places
doctor in the cincinnati,doctor
doctor in the cincinnati area,doctor
skin parasites,skin parasites
much money,much
intestinal infection,intestinal infection
lot of diarrhea,lot
extreme thirst,extreme thirst
bad smell,bad
temporary relief,temporary
meal today,meal
stool sample,stool sample
white specks,white
thing on the toilet,thing
thing on the toilet paper,thing
toilet paper,toilet
rice grain,rice
enough extensive research,extensive
extensive research,extensive
tapeworm segments,tapeworm
tapeworm segments in stools,tapeworm
segments in stools,stools
image with the tiny orange thing,image
tiny orange thing,orange
orange thing,orange
image with the bigger orange thing,image
bigger orange thing,bigger
weirdest thing,thing
several hospitals,several
different kinds,different
different kinds of drugs,different
kinds of drugs,drugs
pain inside the tip,pain
pain inside the tip of penis,pain
antibiotic drug,antibiotic
damn infection,infection
recent experience,recent
recent experience with treatment,recent
recent experience with treatment for latent tb,recent
experience with treatment,experience
experience with treatment for latent tb,experience
treatment for latent tb,treatment
latent tb,latent
baseline liver,baseline
baseline liver enzymes,baseline
weeks of meds,weeks
first liver,first
first liver enzyme,first
first liver enzyme test,first
infectious disease,infectious disease
infectious disease doc,infectious disease
disease doc,disease
public health,public health
public health nurse,public health nurse
possible replacement,possible
treatment for latent,treatment
anal intercourse,anal intercourse
anal intercourse with a guy,anal intercourse
intercourse with a guy,intercourse
infamous skin,skin
infamous skin rash,skin rash
skin post,skin
skin post injection,skin
post injection,post
friends on the street,friends
cool climate,cool
way for some time,for
body weight,body weight
solid minute,solid
way gradual,gradual
third floor,third
sisters cd,sisters
sisters cd player,sisters
own kind,kind
third time,third
water in a while,water
enough strength,strength
side of the bed,side
side of the tub,side
much water,much
days in total,days
more water,more
big kid,big
capable human being,human
human being,human
bed covers,bed covers
white fibers,white
type of insect,type
pics of this stuff,this
stool sample tests,stool sample
sample tests,sample
same outcome,same
parasitic organisms,parasitic
serious health problems,serious health problems
serious health problems over the past few years,serious health problems
health problems over the past few years,health
problems over the past few years,problems
past few years,past
idiopathic cardiomyopathy,idiopathic cardiomyopathy
serious virus,serious
high fever,high fever
start of kidney,start
start of kidney failure,start
emergency room at the right time,emergency room
room at the right time,room
right time,right
serious headaches,serious
numerous visits,numerous
numerous visits to this er,numerous
visits to this er,visits
different hospital,different
ejection fraction,ejection fraction
severe itching,severe
severe itching in the rectal area,severe
itching in the rectal area,itching
itching in the rectal area with several days,itching
rectal area,rectal
rectal area with several days,rectal
rectal area with several days of white discharge,rectal
area with several days,area
area with several days of white discharge,area
several days of white discharge,several days
days of white discharge,days
white discharge,white
odor of infection,odor
doctor about the cardiomyopathy,doctor
previous mysterious illnesses,previous
mysterious illnesses,illnesses
brief rectal exam,brief
rectal exam,rectal
internal hemmorhoids,internal
country in several years,country
similar problems,similar
yellowish stools,stools
skin peeling,skin peeling
mysterious skin,skin
mysterious skin rashes,skin rashes
mysterious skin rashes with hives,skin rashes
skin rashes,skin rashes
skin rashes with hives,skin rashes
skin rashes with hives on a daily basis,skin rashes
rashes with hives,rashes
rashes with hives on a daily basis,rashes
hives on a daily basis,hives
lupus with a positive ana,lupus
eosinophil percentage,eosinophil
blood reports,blood
new doctors,new
repeat of blood,repeat
repeat of blood tests,repeat
lupus results,lupus
further explanation,further
april of this year,april
prescription vitamin,prescription
prescription vitamin d,prescription
infectious disease specialist,infectious disease specialist
disease specialist,disease
nose into a tissue,nose
small worm,small
zip lock,zip
zip lock bag,zip
lock bag,lock
hiv phase,hiv
entire life,entire
hiv test,hiv test
past symptoms,past
only diagnosis,only
one of idiopathic nature,one
idiopathic nature,idiopathic
mysterious illness,illness
mysterious illness since late august,illness
illness since late august,illness
late august,late
loss of appetite(,loss of appetite
interest in food,interest
fatigue •dizziness,fatigue
retch at the end,retch
other clear substance,clear
other clear substance in the mornings,clear
clear substance,clear
clear substance in the mornings,clear
substance in the mornings,substance
bouts of diahrea,bouts
bouts of diahrea during lab,bouts
