concepts|phrases
Depression|depression
Exhaustion|exhaustion
Muscle fatigue|muscle fatigue
Insomnia|sleeplessness
Facial palsy|facial paralysis
Lipitor|Lipitor
Alopecia|alopecia
Stress|stress
Nausea|Nausea
Vomiting|vomiting
Facial palsy|facial paralysis
Bell's palsy|Bell's Palsey
Hip pain|hip and back pain
Depression|depression
Suicidal thoughts|thoughts of suicide
Delusional disorder|paranoia
Exhaustion|exhaustion
Lipitor|Lipitor
Nausea|nausea
Lipitor|Lipitor
Loss of hair|hair loss
Lipitor|Lipitor
Loss of hair|hair loss
Facial palsy|facial paralysis
Backache|back and hip pain
Myalgia|muscle and joint pain
Foot swelling|swelling feet
Swelling of hand|swelling hands
Numbness|numbness
Pins and needles|tingling
Headache|headaches
Fatigue|fatigue
Blurred vision - hazy|blurred vision
Pain|pain
Blurred vision - hazy|blurred vison
Lipitor|Lipitor
Unable to walk|can't walk
Charleyhorse|charley horses in calves
Charleyhorse|charley horses in abdomen
Charleyhorse|charley horses in breasts
Charleyhorse|charley horses in shoulders
Charleyhorse|charley horses in sides
Charleyhorse|charley horses in feet
Charleyhorse|charley horses in feet
Charleyhorse|charley horses in legs
Charleyhorse|charley horses in abdomen
Charleyhorse|charley horses in breasts
Charleyhorse|charley horses in shoulders
Charleyhorse|charley horses in sides
Amnesia|memory loss
Vertigo|vertigo
Headache|headaches
Cerebrovascular accident|mini-strokes
Charleyhorse|charley horse in one or both breasts
Charleyhorse|charley horse in my side
Charleyhorse|Charley horses in the abdomen
Charleyhorse|Charley horses in feet
Heel pain|heel pain
Ulcerative colitis|ulcerative colitis
Excessive upper gastrointestinal gas|gastro/ent
Lipitor|Lipitor
Increased creatine kinase level|high CPK level
Foot pain|foot pain
Colitis|colitis
Lipitor|LIPITOR
Myalgia|muscle pains
Tiredness symptom|tiredness
Zocor|Zocor
Lipitor|lipitor
Lipitor|lipitor
Restless legs|restless legs syndrome (rls)
Lipitor|lipitor
Lipitor|lipitor
Lipitor|Lipitor
Weakness of limb|weaknesses in my legs
Lipitor|Lipitor
Pain|pain
Crestor|Crestor
Lipitor|Lipitor
Insomnia|insomnia
Myalgia|muscle aches
Cannot sleep at all|haven't slept
Lipitor|Lipitor
Insomnia|sleeplessness
Peripheral neuropathy|peripheral neuropathy
Pins and needles|tingling
Numbness|numbness
Rash|rash
Itching|itch
Loss of hair|hair is getting very thin
Lipitor|Lipitor
Loss of hair|hair loss
Excessive upper gastrointestinal gas|gas/wind
Flatulence/wind|windy
Fatigue|fatique
Tired|zombie like tired
Depression|depressed
Severe pain|severe pain in calves
Unable to walk|unable to walk
Vertigo|vertigo like attack
Blurred vision - hazy|blured vision
Reduced libido|no sex drive
Impairment of balance|decrease in balance
Zocor|Zocor
Lipitor|Lipitor
ezetimibe|Zetia
Lipitor|Lipitor
Lipitor|Lipitor
ezetimibe|Zetia
Neck pain|pain in neck
Backache|pain in back
Neck pain|pain in my neck
Sinus pain|sinus pain
Increased venous pressure|high blood pressure
Insomnia|insomina
Unable to think clearly|blurred thinking
Lipitor|Lipitor
Serum cholesterol raised|cholesterol high
Lipitor|Lipitor
Pain|pain
Increased venous pressure|high blood pressure
Amnesia|memory loss
Dizziness|dizzines
Cramp in lower limb|leg cramping
Pain radiating to lumbar region of back|pain traveling to my stomach
Pain radiating to lumbar region of back|pain traveling to my buddocks
Pain|pain
Advil|Advil
Lipitor|Lipitor
Stomach ache|stomach pain
Stomach ache|stomach pain
Cannot sleep at all|could not sleep
Urinary tract infection|urinery tract infection
Urgent desire to urinate|urge to urinate
Lipitor|Lipitor
Stomach ache|stomach pain
Lack of energy|lack of energy
Stress|stress
Lipitor|Lipitor
ascorbic acid|vitamin C
Pravachol|Pravachol
Lipitor|Lipitor
Lipitor|Lipitor
Arthritis|arthritis
Fibromyalgia|fibromyalgia
Plantar fasciitis|plantar fasciitis
Liver enzymes abnormal|elevated liver enzymes
Lipitor|Lipitor
Steatosis of liver|fatty liver
Lipitor|Lipitor
Pain in calf|pain in both calves and thighs
Pain in forearm|Pain in forearms
Shoulder pain|Pain in shoulder
Low back pain|Pain in lower back
Walking disability|couldn't walk
Unable to walk up step|couldn't climb stairs
Fatigue|needed to rest every few minutes
Increased cholesterol esters|high cholesterol
Lipitor|Lipitor
Pain|pain
Abdominal colic|abdominal cramping
Excessive upper gastrointestinal gas|gas
Arthralgia|painful inflammed joints
Pain provoked by walking|painful to walk
Muscle cramp|muscle cramps
Numbness|numbness
Pins and needles|tingling
Muscle cramp|muscle spasams in face and neck
Muscle cramp|muscle cramps
Spasm|spasms
Weakness of limb|weakness in legs
Muscle atrophy|atrophy
Mentally dull|Foggy mental state
Falls|falling over
Clumsiness|clumsiness
Nightmares|nightmares
Aptyalism|dry mouth
Lipitor|Lipitor
Amyotrophic lateral sclerosis|ALS
Motor neurone disease|MND
Lipitor|Lipitor
Hepatic trauma|permanent nerve damage
Lipitor|lipitor
Myalgia|soreness of muscles
Pain|pain
Muscle cramp|muscle cramps
Numbness|numbness
Pins and needles|tingling
Fatigue|fatiqued
Buzzing in ear|buzzing in both ears
Nausea|nausia
Insomnia|sleeplessness
Excessive upper gastrointestinal gas|gas
Urine looks dark|dark urine
Arthritis|Arthritis
Tendonitis|Tendonitis
Sciatica|Sciatica
Lipitor|Lipitor
fenofibrate|Tricor
Lipitor|Lipitor
Arthralgia|joint pain
Decreased range of shoulder movement|couldn't move shoulders
Hip pain|hips hurt
Arthralgia|joint pain
Sleep deprivation|loss of sleep
Shoulder pain|shoulder pain
Hip pain|hip pain
Limitation of joint movement|loss of range of motion
Pain|pains
Bloating symptom|Bloating
Excessive upper gastrointestinal gas|GI difficulties
Weight increased|added weight
Muscle weakness|weakened muscle
Lipitor|Lipitor
Memory impairment|memory difficulties
Stomach cramps|stomach cramps
Loose stool|loose stools
Excessive upper gastrointestinal gas|Gas
Bloating symptom|bloating
Fatigue|fatigue
Hypersomnia|Just wanted to sleep
Impaired exercise tolerance|Couldn't exercise or eat
Lipitor|Lipitor
Diabetes mellitus|diabetes
Loss of hair|hair loss
Joint stiffness|joint stiffness
Palpitations|heart palpitations
Depression|depression
Swelling|swollen
Itching|itching
Lipitor|LIPITOR
Arthralgia|joint pain
Myalgia|muscle pain
Pain|pain
Depression|depressed
Pain|pain
Unable to climb stairs|limits my ability climb stairs
Unable to lift|limits my ability lift anything
Walking disability|limits my ability to walk
Cramp in lower limb|thigh cramps
Asthenia|weakness
Serum cholesterol raised|cholesterol was very high
Loss of taste|loss of taste for salt and sugars
Taste sense altered|Taste perversion
Fatigue|fatigue
Depression|depression
Fibromyalgia|fibromalgia
Knee pain|knee pain
Hip pain|hip pain
Pain|pain
Irritable bowel syndrome|irritable colon
Diarrhoea|diarrhea
Colitis|colitis
Swelling|swelling
Pain|pain
Lipitor|Lipitor
Swelling|swelling
Pain|pain
Severe pain|back pain
Flank pain|flank pain
Haematuria|hematuria
Renal failure|kidney failure
Lipitor|Lipitor
Hepatic trauma|permanent liver damage
Renal injury|kidney damage
Insomnia|Sleeplessness
Pins and needles|tingling in fingers
Mentally dull|foggy-headedness
Lipitor|lipitor
Vibration sensation present|vibrating sensation
Generalised aches and pains|body ached
Incoordination|problems with coordination
Memory impairment|problems with memory
Lipitor|lipitor
Excessive upper gastrointestinal gas|gas
Pain|painfull
Diarrhoea|Diarhea
Headache|headache
Backache|backache
Nasal discharge|runny nose
Excessive upper gastrointestinal gas|gas
Bloating symptom|bloat
Lethargy|lethargy
Pain in lower limb|leg soreness
Muscle twitch|Muscle twitching
Stiff neck|stiff neck
Lightheadedness|lightheadedness
Worried|always worrying
Lipitor|Lipitor
Spasmodic movement|twitching
Lightheadedness|light head
Lipitor|Lipitor
Myalgia|muscle pain
Limitation of joint movement|movement restriction
Tremor|tremor
Memory impairment|memory deficits
Gingivitis|gum infections
Pain in upper limb|Pain in arms
Hand pain|Pain in hands
Shoulder pain|Pain in shoulder
Numbness of hand|Hands numb
Weakness of hand|Hands very weak
Carpal tunnel syndrome|carpal tunnel syndrome
Lipitor|lipitor
Pain|pain
Pain|pain
Pain in upper limb|pain in my arms
Lipitor|lipitor
ubidecarenone|CoQ
ascorbic acid|vitamin C
Myalgia|Muscle aches
Severe visual impairment|Vision severe impairment
Pain|pain
Heavy feeling in eyelids|heaviness in eyes
Eye pain|eye pain
Asthenia|weakness
Lack of stamina|decreased stamina
Depression|Depression
Pain|afterpain
Lipitor|Lipitor
Pain|sore
Backache|back pain
Reduced visual acuity|Vision reduced
Loss of hair|Hair loss
Tired all the time|Tired most of the time
Initial insomnia|Can't get to sleep
Unable to get off a bed|can't get out of bed
Muscle weakness|No strength
Dyspnoea|Loss of breath
Lipitor|lipitor
Severe pain|severe muscle pain in hips
Severe pain|severe muscle pain in ankles
Severe pain|severe muscle pain in legs
Myopathy|recks my muscles severly
Lipitor|lipitor
Muscle cramp|muscle cramps
Numbness|numbness
Difficulty walking up stairs|difficulty walking up stairs
Foot swelling|swollen feet and ankles
Lipitor|Lipitor
Asthenia|weakness
Lack of stamina|reduced stamina
Lateral epicondylitis|tennis elbow
Depression|DEPRESSION
Anxiety|ANXIETY
Aggression|AGGRESSION
Mood swings|MOOD SWINGS
Lipitor|Lipitor
Anxiety|anxiety
Feeling hopeless|hopelessness
Feeling lonely|lonliness
Poor self-image|self loathing
Depression|depressed
Morbid thoughts|obsessively focused on morbid
Feels everything is futile|negative about everything in my life
Excessive upper gastrointestinal gas|Gas
Constipation|Constipation
Fatigue|FATIGUE
Weight gain|weight gain
Bloating symptom|bloating
Diarrhoea|diaharrea
Lipitor|Lipitor
Malignant tumour of spleen|Spleen Cancer
Amyotrophic lateral sclerosis|ALS
Muscle weakness|muscle weakness
Amyotrophic lateral sclerosis|ALS
Pins and needles|Tingling
Numbness|numbness
Lipitor|Lipitor
Hand pain|pain in hands
Backache|pain in back
Thigh pain|pain in upper legs
Pain in upper limb|pain in my arms
Lipitor|Lipitor
prednisone|Prednisone 10mg
prednisone|Predisone
Lipitor|Lipitor
Thyroid disease|Thyroid disease
Lipitor|Lipitor
Visual disturbance|vision problems
Hives|hives
Pain in upper limb|severe pain in arm
Severe pain|severe pain in hand
Severe pain|severe pain in left shoulder,
Muscle atrophy|Muscle atrophy
Excessive upper gastrointestinal gas|gas
Diarrhoea|diarrhea
Amnesia|Memory loss
Poor concentration|difficulty concentratiing
Visual field scotoma|blind spot
Lipitor|Lipitor
Myalgia|muscle aches
Asthenia|weakness
Random blood sugar raised|high sugar attack
Visual disturbance|vision problems
Stiff neck|stiff neck
Neuralgia|nerve pain
Asthenia|weakness
Pain|pain
ubidecarenone|co q 10
Prinivil|prinivil
Lipitor|Lipitor
Digestive symptom|digestion problems
Pancreatitis|pancreas is very swollen
Lipitor|lipitor
Heel pain|heel pain
Burning feet|heel is hot
Lipitor|lipitor
Myalgia|MUSCLE SORENESS
Pins and needles|PINS AND NEEDLES
Insomnia|INSOMNIA
Neck pain|NECK PAIN
Weight gain|WEIGHT GAIN
Memory impairment|TRUBLE REMEMBERING
Derealisation|HAND FEELS LIKE IT'S NOT MINE
Tiredness symptom|TIREDNESS
Depression|DEPRESSED
Myalgia|muscle pain
Hip pain|SEVERE muscle pain in hip joints
Severe pain|SEVERE muscle pain in sholder
Influenza-like illness|fluish feeling
Myalgia|muscle achs
Lack of energy|low energy
Pain|pain
Night pain|waking me up at night in pain
Pain|Pain
Lipitor|lipitor
Chronic diarrhoea|chronic diarrhea
Arthralgia|severe joint aches
Gastrointestinal symptom|abdominal flu symptoms
Lipitor|Lipitor
Osteoarthritis|osteoarthritis
Exhaustion|always feeling tired
Hypertonia|Muscle tightness
Muscle cramp|cramping in back
Cramp in lower limb|cramping in legs
Poor concentration|Problems concentrating
Difficulty sleeping|Problems sleeping
Influenza-like illness|felt like I had the flu
Feeling irritable|Irritable
Muscle weakness|muscle weakness
Nerve injury|nerve damage
Amnesia|memory loss
Rash|red spots all over my body
Loss of hair|hair loss
Disturbance in speech rhythm|slowed speach
Aphasia|aphasia
Shuffling gait|shufflihg gait
Unable to get out of a chair|unable to get out of chairs without help
Lipitor|Lipitor
Walking disability|could not walk
Ringing in ear|ringing in my ears
Nasal sinus problem|sinus problems
Pain|pain
Loss of hair|hairloss
Spots on skin|spots on my body
Unable to walk|lost my ability to walk
Lipitor|Lipitor
Asthenia|weakness
Aphasia|aphasia
Blurred vision - hazy|eyes get blury
Lipitor|Lipitor
Pain|sore
Myopathy|damage to my muscles
Muscle weakness|no strength
Pain provoked by movement|painful time lifting my own arm
Hip pain|hip hurts
Cerebrovascular accident|mild stroke
Lipitor|Lipitor
Asthenia|Extreme fatigue
Excessive upper gastrointestinal gas|general weak feeling overall
Acenaesthesia|my sense of well being has taken a sudden decline
Involuntary movement|involuntary movements
Myalgia|muscles aches
Muscle weakness|muscle weakness
Knee pain|knee pain
Neck pain|neck pain
Headache|headaches
Blurred vision - hazy|blurred vision
Backache|back pain
Walking disability|difficulty to walk
Lipitor|lipitor
Fatigue|fatigue
Hypersomnia|high sleep requirement
Pain|pain
Calf muscle weakness|loss of support in calf musells
Unable to walk|unable to walk
Vertigo|vertigo like attacks
Reduced libido|loss of any sex drive
Lipitor|lipitor
Fatigue|fatique
Weakness of limb|leg support weak
Muscle weakness|mussel weakness
Vertigo|vertigo
Hypersomnia|INCREASE IN SLEEP REQUIREMENT
Lack of energy|ENERGY LOSS
Vertigo|VERTIGO LIKE EPISODES
Pain in lower limb|LEG PAIN
Vertigo|VERTIGO LIKE SYMPTONS
Generalised aches and pains|Aches and pains
Mentally dull|diminished mental acuity
Depression|depressed
Pain in lower limb|in both legs pain
Weakness of limb|in both legs weakness
Muscle cramp|cramped
Pain|sore
Asthenia|weak
Pain in lower limb|leg pain
Serum creatinine raised|Elevated CPK levels
Myopathy|muscle problems
Serum creatinine raised|elevated CPK levels
Fatigue|fatigue
Neuropathy|neuropathy
Taste sense altered|taste perversion
Backache|back pain
Depression|suicidal depression
Weight loss|weight loss
Delusional disorder|paranoia
Personality change|change in personality
Lipitor|Lipitor
fenofibrate|Tricor
Arthralgia|sore joints
Insomnia|sleeplessness
Excessive upper gastrointestinal gas|gas
Lipitor|Lipitor
Depression|deppression
Asthenia|weakness
Fatigue|fatigue
Myalgia|muscle pain
Stiffness|stiffness
Numbness|numbness
Pins and needles|tingling
Excessive upper gastrointestinal gas|gas
Bloating symptom|bloating
Indigestion|indegestion
Nasal congestion|stuffy nose
Blocked ears|plugged ears
Impairment of balance|,lack of balance and cooridination
Renal calculus|kidney stone
Bronchitis|bronchitis
Cough|cough
Intra-abdominal haematoma|abdominal hematoma
Haemorrhage of abdominal cavity structure|bleeding in my abdomen after coughing and rupturing a blood vessel
Immunosuppression|decreased immune system
White blood cell count abnormal|elevated wbc
Difficulty swallowing|trouble swallowing
Hoarse|hoarse voice
Chest pain|chest pain
Dyspnoea|shortness of breath
Loss of taste|decreased sense of taste
Sense of smell impaired|decreased sense of smell
Irregular menstruation|irregular periods
Dysfunctional uterine bleeding|abnormal uterine bleeding
Decreased progesterone level|decreased progesterone production
Urine looks dark|dark urine
Dental caries|tooth decay
Anxiety|anxiety
Anaemia|anemia
Backache|back pain
Lipitor|lipitor
Myalgia|muscle pain
Arthralgia|joint pain
Renal failure|kidney failure
Autoimmune disease|auto immune diseases
Myalgia|muscle pain
Asthenia|weakness
Walking disability|trouble walking
Headache|headache
Myalgia|muscle ache
Diarrhoea|diarrhea
Indigestion|indigestion
Abdominal pain|abdominal pain
Backache|back pain
Visual disturbance|eyesight has changed
Nasal sinus problem|sinus problems
Arthralgia|joint pain
Cramp in lower limb|leg cramps
Fibromyalgia|fibromyalgia
Pain|pain
Muscle weakness|Muscle weakness
Blurred vision - hazy|blurry eyesight
Loss of hair|hair loss
Burning feet|burning feet
Heel pain|painful heels
Lipitor|Lipitor
Confusion|Confusion
Amnesia|memory loss
Loss of motivation|lack of motivation
Lipitor|Lipitor
Amnesia|memory loss
Mild cognitive disorder|incipient dementia
Impaired cognition|Cognitive disfunction
Neuropathy|neuropathy
Tinnitus|tinnitis
Speech impairment|difficulty with speech
Neck pain|neck pain
Asthenia|extreme fatigue
Muscle weakness|muscle weakness
Walking disability|difficulty walking
Myalgia|pain muscle
Arthralgia|joint pain
Asthenia|extreme fatigue
Muscle rigidity|muscle stiffness
Pins and needles|tingling in feet
Pins and needles|tingling in hands
Paraesthesia of lower extremity|legs tingling in
Tingling of skin|arms tingling in
Unable to walk|inability to walk
Pain provoked by rest|contact pain where weight presses against things
Myalgia|muscle pains
Arthralgia|joint pains
Lipitor|Lipitor
Pain|pain
Lipitor|Lipitor
Lipitor|Lipitor
Walking disability|couldn't walk
Unable to move arm|couldn't lift my arms
Neck pain|neck pain
Myalgia|muscle pain
Tenalgia|pain in every tendon in my body
Achilles tendonitis|Achilles tendon pain in
Headache|on the back of the head pain in every tendon
Lipitor|Lipitor
Lipitor|Lipitor
ubidecarenone|coenzymeQ10
Lipitor|Lipitor
Knee pain|aching in knees
Hip pain|aching in hips
Pain in toe|aching in toes
Pain in finger|aching in my fingers
Arthritis|arthritis
Arthritis|arthritis
Lipitor|Lipitor
Arthritis|arthritis
Excessive upper gastrointestinal gas|gas/wind
Tiredness symptom|tiredness
Lipitor|Lipitor
Zocor|Zocor
Excessive upper gastrointestinal gas|gas/wind
Tired|very tired
Excessive upper gastrointestinal gas|gas/wind
Zocor|Zocor
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Myalgia|muscle soreness
Low back pain|lower back pain
Hip pain|pain in my left hip
Hip pain|hip pain
Muscle cramp|muscle knots up
Mentally vague|vagueness
Poor short-term memory|short term memory loss
Dyspnoea|shortness of breath
Myalgia|muscle pain
Myalgia|muscle pains
Mentally vague|vagues
Poor short-term memory|loss of short term memory
Headache|head aches
Dyspnoea|shortness of breath
Cramp in calf|severn calf cramps
Lipitor|Lipitor
Walking disability|bearly walk
Lipitor|Lipitor
Cramp in lower limb|leg cramps
Lipitor|Lipitor
Cramp in lower limb|leg cramps
Cramp in lower limb|leg cramps
Lipitor|Lipitor
Cramp in lower limb|severn leg cramps
Lipitor|Lipitor
Muscle cramp|cramps
Muscle cramp|cramps
Cramp in lower limb|leg cramps
Swelling of knee joint|right knee swelled
Cramp in lower limb|leg cramps
Lipitor|Liptior
Cramp in lower limb|leg cramps
Muscle cramp|cramps
Lipitor|Liptior
Lipitor|Lipitor
Jaw pain|Jaw pains
Neck pain|neck pains
Low back pain|low back pains
Hip pain|hip pains
Numbness|Numbness
Pins and needles|tingling
ezetimibe + simvastatin|Vytorin
Pravachol|Pravachol
ezetimibe + simvastatin|Vytorin
Pravachol|pravachol
Pain|pains
Fatigue|fatigue
Lightheadedness|lightheaded
Asthenia|weakness
Hip pain|Hip pain
Backache|back pain
Pain in lower limb|leg pain
Lateral epicondylitis|tennis elbow type pain
Low blood pressure reading|hypotension
Lipitor|lipitor
Syncope|fainting spells
Tight chest|tighening of the chest
Cramp in lower limb|leg cramps
Lipitor|lipitor
Lethargy|lethargy
Pins and needles|tingling in arms
Difficulty sleeping|trouble sleeping
Feeling irritable|irritability
Anxiety|anxiety
Mild depression|mild depression
Lipitor|lipitor
ezetimibe|Zetia
ezetimibe|Zetia
ezetimibe|Zetia
Lipitor|LIPITOR
ezetimibe|Zetia
Lipitor|Lipitor
Pain in lower limb|pain/cramps in both my legs
Muscle cramp|cramps
Pain|pain
Lipitor|Lipitor
Pain|pain
Myalgia|muscle aches
Pain|pains
Asthenia|weakness
Impaired exercise tolerance|exercise intolerance
Neuropathy|neuropathy
Excruciating pain|Excruciating pain
Unable to walk|Unable to walk
Unable to sit|Unable to sit
Unable to get off a bed|Unable to get out of bed
Pain|Pain
Stiffness|stiffness
Lipitor|Lipitor
Muscle cramp|muscle spasms
Nausea|Nausea
Vomiting|vomiting
Chest pain|chest pain
Haematuria|blood in urine
Pain|pain
Lipitor|lipitor
Lipitor|lipitor
Musculoskeletal chest pain|chest muscle soreness
Spasm|spazms
Neurontin|neurontin
Myopathy|muscle problems
Lipitor|lipitor
Lipitor|lipitor
Myopathy|muscle problems
Pain in upper limb|pain in arm
Shoulder pain|pain in shoulder
Difficulty moving arm|could not lift arm
Pain|pain
omega-3-acid ethyl esters-90|omega 3
ubidecarenone|coq10
Pain|pain
Muscle weakness|Muscle weakness
Severe pain|extreme pain
Nausea|nausea
Diarrhoea|diarrhea
Dizziness|dizziness
Walking disability|can barely walk
Influenza|flu bug
Pravachol|pravochol
Pravachol|provachol
Influenza-like illness|Flu like synptoms
Numbness of upper limb|numbness in my shoulder
Excessive upper gastrointestinal gas|gas
Headache|headaches
Diarrhoea|diarhhea
Urine looks dark|dark urine
Arthralgia|joint pain
Myalgia|muscle pain
Walking disability|can barely walk
Lipitor|lipitor
Myocardial infarction|HEART ATTACK
Lipitor|lipitor
Dependance on walking stick|walking with a cane
Severe pain|server pain
Myalgia|HORRIBLE muscle pains
Spasm of back muscles|horrible back spasms
Cramp in lower limb|spasms in leg muscles
Nausea|nausea
Vomiting|vomiting
Pain|pain
Walking disability|could hardly walk or sit
Chest pain|chest pains
Lipitor|lipitor
Poor short-term memory|Terrible short term memory problems
Loss of motivation|lack of motivation
Asthenia|weak and wobbly unbalanced
Unsteady when walking|not sure footed as I walked
Asthenia|overall weak feeling
Abnormal muscle function|muscle function irregularities
Tightness in throat|tightness in throat with occasional choking problem
Lightheadedness|lightheaded foggy brain (like being in a stupor)
Lack of stamina|loss of endurance
Sensation of heaviness in limbs|heavy legs and arms
Blepharospasm|eye muscle spasms
Dizziness|dizziness
Vertigo|vertigo
Difficulty sleeping|lousy sleeping at night
Poor concentration|terrible concentration
Abnormal dreams|bad dreams nightly
Cramp in foot|foot and leg cramps
Exhaustion|always exhausted
Hip pain|hip joint pain
Myalgia|muscular aches
Swallowing problem|swallowing problems
Unable to get off a bed|hard to get out of bed in the morning
Muscle tension|constant muscle tension in legs
Feeling unhappy|sadness
Mood swings|mood swings
Muscle atrophy|loss of muscle mass in arms
Muscle atrophy|loss of muscle mass in chest
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
simvastatin|simvastatin
Lipitor|Lipitor
Vertigo|vertigo
Muscle weakness|loss of support in all muscels in particular calf and leg
Excruciating pain|excruciatig pain
Loss of hair|loss of hair
Reduced libido|loss of sex drive
Amnesia|memory loss
Asthenia|extreme fatigue
Blind or low vision - one eye only|partial tempoary loss of sight one eye
Myalgia|muscel pain
Fatigue|fatigue
Vertigo|vertigo
ubidecarenone|cq10
fish oil natural|fish oils
Depression|depression
Myopathy|Extreme muscle problems
Arthralgia|joint pain
Lipitor|lipitor
Lipitor|lipitor
Lipitor|lipitor
Decreased liver function|liver was functioning at only 50%
Serum cholesterol raised|cholestrol went up dramatically
Lipitor|Lipitor
Severe pain|extreme pain in neck
Severe pain|extreme pain in both shoulders
Severe pain|Pain was worse
Unable to move arm|unable to reach the top of my head with my hands
Pain|Pain
Limitation of joint movement|restricted movement
Discomfort|discomfort in my left hand
Pain|pain
Swelling of finger|fingers are swollen
Limitation of joint movement|movement is restricted
Warm hands|hands are warm to touch
Limitation of joint movement|movement is restricted and it is impossible to make a fist
ibuprofen 5% gel|ibruprofen gel
ibuprofen|Ibruprofen
Lipitor|Lipitor
Severe pain|extreme pain
Myalgia/myositis - forearm|MUSCLE PAIN IN LEFT ARM
Asthenia|WEAK FEELING
Malaise|GENERAL MALAISE
Severe pain|Severe muscle pain in calves
Unable to run|unable to run
Generally unwell|Felt very unwell
Decreased cholesterol esters|HDL dropped
Lipitor|Lipitor
Lipitor|Lipitor
Chest pain|chest pain
Muscle weakness|muscle weakness
Spasm|spasms
Increased thirst|every 3 hrs drinking water
Rhabdomyolysis|Rhabdomyolosis
Myalgia|Severe muscle pain
Arthralgia|joint pain
Pain|pain
Reduced mobility|could hardly move
Lipitor|Lipitor
Lipitor|Lipitor
Pain|pain
Myocardial infarction|heart attack
Lipitor|Lipitor
Weight gain|weight gain
Dry skin|persistent dry skin spots
Pain in lower limb|leg pains
Excessive upper gastrointestinal gas|gas
Lightheadedness|lightheadedness
Depression|depression
Poor short-term memory|short term memory problems
Severe pain|severe muscle pains
Muscle cramp|cramps
Lipitor|Lipitor
Lipitor|Lipitor
Severe pain|severe pains
Muscle cramp|severe cramps
Pain|pains
Pain|pain
Lipitor|Lipitor
Myalgia|muscle pains
Muscle cramp|cramps
Lipitor|Lipitor
Muscle weakness|WEAK MUSCLES
Impairment of balance|POOR BALANCE
Tired|VERY VERY TIRED
Lipitor|lipitor
Unable to get off a bed|difficult for me to get out of bed
Stabbing pain|stiffnes and pain in my right hip
Walking disability|difficult for me to walk
Tired|very tired
Restless legs|legs are restless
Multiple sclerosis|MS
Lipitor|Lipitor
Excessive upper gastrointestinal gas|Gas
Bloating symptom|bloating
Insomnia|sleeplesness
Fatigue|fatigue
Unable to get off a bed|not being able to get out of bed in the morning
Muscle rigidity|muscle stiffness
Unable to walk|not being able to walk
Menopause present|menopause
Arthritis|arthritis
Difficulty walking up stairs|Difficult to walk up and down the steps
Lipitor|lipitor
Depression|depressed
Myalgia|muscle pains
Arthralgia|joint pains
Pain|pain
Pain|pains
Lipitor|Lipitor
Walking disability|could barely walk
Pain|pain
Arthralgia|JOINT PAIN
Myalgia|UNBEARABLE MUSCLE PAIN
Loss of hair|HAIR FALLING OUT
dextropropoxyphene + paracetamol|DARVACET
Pain|PAIN
Fibromyalgia|FIBROMYALGIA
Lipitor|LIPITOR
Arthralgia|JOINT PAIN
Myalgia|MUSCLE PAIN
Lipitor|Lipitor
Headache|Extreme headaches
Severe pain|severe neck pain
Fatigue|fatigue
Arthralgia|sore joints
Myalgia|sore muscles
Fever|fevers
Chill|chills
Sweating|sweating
Urine looks dark|dark urine
Influenza-like illness|flu like symptoms
Swollen knee|swelling of right knee
Feeling irritable|irritable
Always sleepy|wanted to sleep all of the time
Lipitor|lipitor
Lipitor|lipitor
Pain in throat|sore throat
Achilles tendonitis|Severe achilles tendonitis
Heel pain|heel pain
Burning sensation|burning sensations in calves
Lipitor|Lipitor
Dizziness|dizzyness
Asthenia|weakness
Pain|aches
Pain|pains
Unable to think clearly|loss of coherent thought
Amnesia|memory loss
Lipitor|Lipitor
Lipitor|Lipitor
Lipitor|Lipitor
Abnormal weight gain|significant weight gain
Fatigue|fatigue
Insomnia|sleepless nights
Constipation|constipation
Diarrhoea|diarria
Myalgia/myositis - lower leg|muscle pain in the leg
Myalgia/myositis - lower leg|muscle pain calf area
Low back pain|muscle pain lower back
Pain|pain
Pain|pain
Pain|pain
Weight gain|weight gain
Fatigue|fatigue
Arthralgia|Joint pain
Backache|back pain
Shoulder pain|shoulder pain
Pain in upper limb|arm pain
Numbness|numbness
Pins and needles|tingling in the hands
Ankle oedema|Edema of ankles
Oedema of hand|Edema of hands
Blurred vision - hazy|Blurred vision
Amnesia|memory loss
Arthralgia|Arthritic type pain in all joints
Difficulty walking up stairs|could barely walk up stairs
Reduced mobility|could barely get out of bed in the morning
Depression|depressed
Lipitor|Lipitor
Lethargy|Lethargy
Unable to think clearly|fuzzy thinking
Blurred vision - hazy|blurry vision
Myalgia|muscle pains
Lopid|Lopid
Heart disease|damage your heart
Dyspnoea|short of breath
Asthenia|constantly weak
Lightheadedness|LIGHT HEADED
Finding of increased blood pressure|INCREASED BLOOD PRESSURE
Pounding heart|HEART THROBBING OUT OF MY CHEST
Pins and needles|TINGLING IN MUSCLES OF UPPER TORSO
Headache|HEADACHES
Myocardial infarction|HEART ATTACH
Headache|headache
Chest pain|chestpain
Cardiac arrhythmia|arrythmia
Diarrhoea|diarrhea
Malaise|malaisse
Forgetful|forgetfulness
Confusion|confusion
Backache|back pain
Phlebitis|phlebitis
Distention of blood vessel|vein in my one leg is bulging
